0 1 2
1 0 3
2 4 34
4 2 1
5 6 7
7 8 9
7 10 8
10 7 6
11 12 13
12 11 14
17 15 16
15 17 9
9 17 7
35 16 36
18 3 0
19 3 18
20 3 19
3 20 21
10 22 8
22 10 23
24 18 25
18 24 19
24 14 11
14 24 23
23 26 22
27 26 23
24 27 23
27 24 25
27 0 2
0 27 18
18 27 25
26 9 8
26 8 22
9 26 15
28 16 29
16 28 17
4 29 16
29 4 1
5 17 28
17 5 7
21 1 3
1 21 29
30 31 32
31 30 33
29 21 30
31 5 32
5 31 6
28 30 32
30 28 29
13 31 33
31 13 12
31 12 6
12 10 6
10 12 14
20 30 21
30 20 33
28 32 5
33 20 13
11 19 24
11 20 19
20 11 13
10 14 23
16 35 34
16 34 4
16 15 36
